Case ID,Activity,Timestamp,Case Type,Branch,Ramo,Brocker,Client,Creator,Value,Insurance,State
8014,Registro de compromiso,2025-02-16 10:36:09.403251+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Registro de compromiso
8014,Enviar a Revisión suscripción,2025-02-16 21:35:32.064518+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Enviar a Revisión suscripción
8014,Validar info enviada,2025-02-16 22:06:11.746708+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Validar info enviada
8014,Revisión en suscripción,2025-02-17 00:44:58.082588+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Revisión en suscripción
8014,Enviar a suscripcion local,2025-02-17 04:28:57.984247+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Enviar a suscripcion local
8014,Aprobar solicitud en suscripcion local,2025-02-17 09:48:54.664334+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Aprobar solicitud en suscripcion local
8014,Enviar respuesta al area comercial,2025-02-20 07:28:34.313994+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Enviar respuesta al area comercial
8014,Rechazar (perdida) por parte del Brocker,2025-02-21 02:50:50.973044+00:00,Issuance,Branch 9,Liability Insurance,Shirley,Sarah,Ava,9900,028745,Rechazar (perdida) por parte del Brocker
299,Ingresar tramite,2025-02-21 17:18:20.056571+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Ingresar tramite
299,Registrar PO,2025-02-21 18:05:09.826330+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Registrar PO
299,Enviar a emision,2025-02-21 20:09:48.827888+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Enviar a emision
299,Revisión en emisión,2025-02-23 01:13:06.003295+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Revisión en emisión
299,Iniciar facturación,2025-02-23 14:20:46.794379+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Iniciar facturación
299,Generar Factura,2025-02-24 00:41:56.546142+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Generar Factura
299,Contabilizar Factura,2025-02-24 02:41:26.313188+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Contabilizar Factura
299,Generar poliza,2025-02-25 05:08:59.051395+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Generar poliza
299,Enviar factura electronica,2025-02-25 06:13:58.078490+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Enviar factura electronica
299,Respuesta SRI,2025-02-25 11:19:03.311065+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Respuesta SRI
299,Enviar poliza electronica,2025-02-25 13:40:31.495925+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Enviar poliza electronica
299,Firma poliza electronica por parte del cliente,2025-02-27 10:14:58.613177+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Firma poliza electronica por parte del cliente
299,Finalizar envio poliza y factura al cliente,2025-02-27 14:18:22.368330+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Finalizar envio poliza y factura al cliente
299,Finalizar proceso de emision,2025-02-27 16:56:43.691660+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Finalizar proceso de emision
299,Recepcion pago,2025-02-27 19:32:32.788294+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Recepcion pago
299,Registro de compromiso,2025-02-27 20:46:30.624685+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Registro de compromiso
299,Enviar a Revisión suscripción,2025-02-28 10:00:04.544167+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Enviar a Revisión suscripción
299,Validar info enviada,2025-03-01 00:20:09.099761+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Validar info enviada
299,Revisión en suscripción,2025-03-01 18:54:46.335596+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Revisión en suscripción
299,Enviar a suscripcion local,2025-03-02 14:24:13.334726+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Enviar a suscripcion local
299,Declinar solicitud en suscripcion,2025-03-02 15:02:14.347582+00:00,Policy onboarding,Branch 9,Burial Insurance,Owen,Neal,Tanya,4000,073246,Declinar solicitud en suscripcion
9325,Ingresar tramite,2025-01-05 10:33:15.207102+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Ingresar tramite
9325,Registrar PO,2025-01-06 01:12:31.870495+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Registrar PO
9325,Enviar a emision,2025-01-06 13:22:39.071396+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Enviar a emision
9325,Revisión en emisión,2025-01-07 08:33:11.951161+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Revisión en emisión
9325,Iniciar facturación,2025-01-08 07:27:13.607412+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Iniciar facturación
9325,Generar Factura,2025-01-08 17:37:04.812893+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Generar Factura
9325,Contabilizar Factura,2025-01-09 12:30:51.268243+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Contabilizar Factura
9325,Generar poliza,2025-01-09 19:54:16.224084+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Generar poliza
9325,Enviar factura electronica,2025-01-10 03:40:33.266765+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Enviar factura electronica
9325,Respuesta SRI,2025-01-10 05:08:58.699367+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Respuesta SRI
9325,Enviar poliza electronica,2025-01-10 16:40:46.880562+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Enviar poliza electronica
9325,Firma poliza electronica por parte del cliente,2025-01-11 11:17:15.750612+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Firma poliza electronica por parte del cliente
9325,Finalizar envio poliza y factura al cliente,2025-01-11 11:51:35.630572+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Finalizar envio poliza y factura al cliente
9325,Finalizar proceso de emision,2025-01-12 03:32:14.970906+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Finalizar proceso de emision
9325,Recepcion pago,2025-01-12 07:02:38.338087+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Recepcion pago
9325,Registro de compromiso,2025-01-14 11:40:34.498355+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Registro de compromiso
9325,Enviar a Revisión suscripción,2025-01-14 18:52:46.982940+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Enviar a Revisión suscripción
9325,Revisión en suscripción,2025-01-15 03:40:20.866480+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Revisión en suscripción
9325,Enviar a suscripcion local,2025-01-15 04:15:51.354049+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Enviar a suscripcion local
9325,Aprobar solicitud en suscripcion local,2025-01-15 18:57:59.088612+00:00,Policy onboarding,Branch 6,Fire Insurance,James,Daisy,Elizabeth,4900,006341,Aprobar solicitud en suscripcion local
